"Year","Authors"
2017,"Nyaligwa, L. ; Hussein, S. ; Laing, M.... ; Ghebrehiwot, H. ; Amelework, B."
2016,"Nduwumuremyi, A. ; Melis, R. ; Shanahan, P. ; Asiimwe, T."
2016,"Tena, E. ; Mekbib, F. ; Shimelis, H ; Mwadzingeni, L."
2016,"Mofokeng, M.A. ; Shimelis, H ; Tongoona, P... ; Laing, M...."
2016,"Rafiq, M. ; Najeeb, S. ; Sheikh, F.A. ; Iqbal, A.M. ; Bhat, Z.A. ; Kashyp, S.C. ; Hussian, A. ; Mujtaba, A. ; Parray, G.A."
2015,"Horn, LN ; Shimelis, H ; Laing, M...."
2015,"Dao, A. ; Sanou, J. ; Gracen, V ; Danquah, E."
2015,"Basavaraj, G. ; Parthasarathy Rao, P. ; Achoth, L. ; Lagesh ; Pokharkar, V.G. ; Gupta, S.K. ; Ashok Kumara, A.."
2014,"Calingacion, M. ; Laborte, AG. ; Nelson, A. ; Resurreccion, A. ; Concepcion, J.C. ; Daygon, V.D. ; Mumm, R. ; Reinke, R. ; Dipti, S. ; Bassinello, P.Z. ; Manful, J. ; Sophany, S. ; Lara, K.C. ; Bao, J. ; Xie, L. ; Loaiza, K. ; El-hissewy, A. ; Gayin, J. ; Sharma, N. ; Rajeswari, S. ; Manonmani, S. ; Rani, N.S. ; Kota, S. ; Indrasari, S.D."
2014,"Njoku, D ; Egesi, C.N..N. ; Gracen, V ; Offei, S.K. ; Asante, I.K. ; Danquah, E."
2013,"Sugri, I. ; Kanton, R.A.L. ; Kusi, F. ; Nutsugah, Stephen ; Buah, S.S.J. ; Zakaria, M."
2013,"Sibiya, J. ; Tongoona, P... ; Derera, J. ; Makandaa, I."
2011,"Mukanga, M. ; Derera, J. ; Tongoona, P... ; Laing, M...."
2011,"Mohapatra, S. ; Gregorio, GB ; Kumara, A.."
2011,"Asgedom, S. ; Struik, P.C. ; Heuvelink, E.P. ; Araia, W."
2010,"Bishaw, Z. ; Struik, P.C. ; van Gastel, A.J.G."
2010,"Kagoda, F. ; Derera, J. ; Tongoona, P... ; Coyne, D.L."
2010,"Singh, RKK..K. ; RedoÃ±a, E. ; Gregorio, GB ; Salam, M.A. ; Islam, M.R. ; Singh, D.P. ; Sen, P. ; Saha, S. ; Mahata, K.R. ; Sharma, S. ; Pandey, S... ; Sajise, A.G. ; Mendoza, R.D. ; Toledo, M.C. ; Dante, A. ; Ismail, A.M. ; Paris, T ; Haefele, S.M. ; Thomson, M.J. ; Zolvinski, S. ; Singh, Y.P. ; Nayak, A.K. ; Singh, RKK..B. ; Mishra, V.K."
2009,"Thapa, D.B. ; Sharma, R.C. ; Mudwari, A. ; Ortiz-Ferrara, G. ; Sharma, S. ; Basnet, R.K. ; Witcombe, J.R. ; Virk, D.S. ; Joshi, K. D."
2008,"Misiko, M. ; Tittonell, P. ; Ramisch, J.J. ; Richards, P. ; Giller, K.E."
2007,"Sivapalan, S. ; Batten, G. ; Goonetilleke, A. ; Kokot, S."
2004,"Jalleta, T. ;"
1993,"Sperling, L. ; Loevinsohn, M.E. ; Ntabomvura, B."
2015,"Mwiti, Florine ; Okello, J.J. ; Munei, Kimpei"
2009,"Gonzalez, Carolina ; Johnson, Nancy L."
2016,"Fiamohe, R. ; Ndindeng, S. ; Mujawamariya, G. ; Sanyang, S. ; Futakuchi, K."
2009,"Buergelt, Doreen ; von Oppen, Matthias ; Yadavendra, Jagdish Prasad"
2018,"Cardona, Tur J. ; Speelman, S. ; Sanou, E."
2010,"Omot, Norah ; Spriggs, John ; Chang, Hui-Shung (Christie)"
2016,"Gallardo, K ; Yue, Chengyan ; McCracken, V ; Luby, J ; McFerson, J"
2013,"KierczyÅ„ska, Sylwia ;"
2015,"Gallardo, K ; Li, Huixin ; Yue, Chengyan ; Luby, J ; McFerson, J R. ; McCracken, V"
2010,"Hewavitharane, H.V.C. ; Warnakulasooriya, H.U. ; Wajira Kumara, G.B.S."
1985,"Knight Jr., Robert J. ;"
